year,name_full,stage_wins,time_margin,time_overall
1996,Winner: Bjarne Riis (Denmark),Stage Wins: 2,Winning Margin: 0.02 hours,Overall Time: 96 hours
1997,Winner: Jan Ullrich (Germany),Stage Wins: 2,Winning Margin: 0.15 hours,Overall Time: 100.5 hours
1998,Winner: Marco Pantani (Italy),Stage Wins: 2,Winning Margin: 0.05 hours,Overall Time: 92.8 hours
1999,Winner: Lance Armstrong (United States),Stage Wins: 4,Winning Margin: 0.12 hours,Overall Time: 91.5 hours
2000,Winner: Lance Armstrong (United States),Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2001,Winner: Lance Armstrong (United States),Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
2002,Winner: Lance Armstrong (United States),Stage Wins: 4,Winning Margin: 0.12 hours,Overall Time: 82.1 hours
2003,Winner: Lance Armstrong (United States),Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 83.7 hours
2004,Winner: Lance Armstrong (United States),Stage Wins: 5,Winning Margin: 0.1 hours,Overall Time: 83.6 hours
2005,Winner: Lance Armstrong (United States),Stage Wins: 1,Winning Margin: 0.07 hours,Overall Time: 86.3 hours
2006,Winner: Óscar Pereiro (Spain),Stage Wins: 0,Winning Margin: 0.01 hours,Overall Time: 89.7 hours
2007,Winner: Alberto Contador (Spain),Stage Wins: 1,Winning Margin: 0.01 hours,Overall Time: 91 hours
2008,Winner: Carlos Sastre (Spain),Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 87.9 hours
2009,Winner: Alberto Contador (Spain),Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 85.8 hours
2010,Winner: Andy Schleck (Luxembourg),Stage Wins: 2,Winning Margin: 0.02 hours,Overall Time: 92 hours
2011,Winner: Cadel Evans (Australia),Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 86.2 hours
2012,Winner: Bradley Wiggins (Great Britain),Stage Wins: 2,Winning Margin: 0.05 hours,Overall Time: 87.6 hours
2013,Winner: Chris Froome (Great Britain),Stage Wins: 3,Winning Margin: 0.07 hours,Overall Time: 83.9 hours
2014,Winner: Vincenzo Nibali (Italy),Stage Wins: 4,Winning Margin: 0.12 hours,Overall Time: 90 hours
2015,Winner: Chris Froome (Great Britain),Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.8 hours
2016,Winner: Chris Froome (Great Britain),Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.1 hours
2017,Winner: Chris Froome (Great Britain),Stage Wins: 0,Winning Margin: 0.02 hours,Overall Time: 86.3 hours
